feature,mean_shap
los_days,1.5087219215487926
baseline_creatinine,0.7334654414034182
icu_los_days,0.4340056705930648
egfr,0.39428357611112247
baseline_hemoglobin,0.3205265322079239
age,0.3078984081679221
admission_type_EW EMER.,0.24550885084093746
mean_hr,0.2167666131847643
min_map,0.17050993011182475
admission_type_OBSERVATION ADMIT,0.10912471358687259
mean_map,0.08024681156462134
gender_F,0.07480468425393699
pct_hypotensive,0.06985029902682753
admission_type_SURGICAL SAME DAY ADMISSION,0.042793387504244676
insurance_Other,0.035236692861732186
n_icu_stays,0.028708718594224015
admission_type_URGENT,0.022319269201995038
admission_type_ELECTIVE,0.013974125534244722
gender_M,0.013200886035950557
insurance_Medicare,0.008405529412634071
insurance_Medicaid,2.423626091934695e-05
admission_type_DIRECT OBSERVATION,0.0
admission_type_EU OBSERVATION,0.0
admission_type_DIRECT EMER.,0.0
admission_type_AMBULATORY OBSERVATION,0.0
